  0%|                                             | 0/1473 [00:00<?, ?it/s]/opt/conda/lib/python3.11/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                           
{'loss': 0.9307, 'grad_norm': 0.7721452713012695, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9791, 'grad_norm': 1.4133292436599731, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.0}
{'loss': 0.9094, 'grad_norm': 1.0886770486831665, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.0}
{'loss': 0.8215, 'grad_norm': 1.0224614143371582, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.0}
{'loss': 0.7413, 'grad_norm': 0.7345637679100037, 'learning_rate': 1.777777777777778e-05, 'epoch': 0.0}
{'loss': 1.0487, 'grad_norm': 1.720858097076416, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.0}
{'loss': 1.03, 'grad_norm': 0.9008910655975342, 'learning_rate': 2.6666666666666667e-05, 'epoch': 0.0}
{'loss': 0.8502, 'grad_norm': 1.114410400390625, 'learning_rate': 3.111111111111111e-05, 'epoch': 0.01}
{'loss': 0.7529, 'grad_norm': 0.5373455882072449, 'learning_rate': 3.555555555555556e-05, 'epoch': 0.01}
{'loss': 0.7808, 'grad_norm': 0.5137835144996643, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.6818, 'grad_norm': 0.5595455765724182, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.01}
{'loss': 0.6323, 'grad_norm': 0.44398051500320435, 'learning_rate': 4.888888888888889e-05, 'epoch': 0.01}
{'loss': 0.7512, 'grad_norm': 0.7728102207183838, 'learning_rate': 5.333333333333333e-05, 'epoch': 0.01}
{'loss': 0.717, 'grad_norm': 0.578015923500061, 'learning_rate': 5.7777777777777776e-05, 'epoch': 0.01}
{'loss': 0.8061, 'grad_norm': 0.7537094354629517, 'learning_rate': 6.222222222222222e-05, 'epoch': 0.01}
{'loss': 0.8248, 'grad_norm': 0.4538315534591675, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.01}
[2026-02-09 12:29:51,534] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 0.693, 'grad_norm': 0.5001166462898254, 'learning_rate': 7.111111111111112e-05, 'epoch': 0.01}
{'loss': 0.6838, 'grad_norm': 0.26403889060020447, 'learning_rate': 7.555555555555556e-05, 'epoch': 0.01}
{'loss': 0.7947, 'grad_norm': 0.4532715678215027, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 0.7981, 'grad_norm': 0.5158246159553528, 'learning_rate': 8.444444444444444e-05, 'epoch': 0.01}
{'loss': 0.6908, 'grad_norm': 0.336169570684433, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.01}
{'loss': 0.8004, 'grad_norm': 0.24252039194107056, 'learning_rate': 9.333333333333334e-05, 'epoch': 0.01}
{'loss': 0.7011, 'grad_norm': 0.3057715892791748, 'learning_rate': 9.777777777777778e-05, 'epoch': 0.02}
{'loss': 0.6708, 'grad_norm': 0.2460460215806961, 'learning_rate': 0.00010222222222222222, 'epoch': 0.02}
{'loss': 0.6405, 'grad_norm': 0.4781881868839264, 'learning_rate': 0.00010666666666666667, 'epoch': 0.02}
{'loss': 0.6789, 'grad_norm': 0.4022640287876129, 'learning_rate': 0.00011111111111111112, 'epoch': 0.02}
{'loss': 0.7325, 'grad_norm': 0.4965517520904541, 'learning_rate': 0.00011555555555555555, 'epoch': 0.02}
{'loss': 0.7616, 'grad_norm': 0.3912856876850128, 'learning_rate': 0.00012, 'epoch': 0.02}
{'loss': 0.6705, 'grad_norm': 0.32064682245254517, 'learning_rate': 0.00012444444444444444, 'epoch': 0.02}
{'loss': 0.525, 'grad_norm': 0.2303573191165924, 'learning_rate': 0.00012888888888888892, 'epoch': 0.02}
