  1%|▍                              | 18/1280 [21:55<25:35:28, 73.00s/it]            
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 2.564102564102564e-05, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 5.128205128205128e-05, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 7.692307692307693e-05, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00010256410256410256, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0001282051282051282, 'epoch': 0.0}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00015384615384615385, 'epoch': 0.01}
[2026-02-12 07:16:15,251] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0001794871794871795, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00020512820512820512, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0002307692307692308, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0002564102564102564, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00028205128205128203, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0003076923076923077, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0003333333333333333, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.000358974358974359, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00038461538461538467, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.00041025641025641023, 'epoch': 0.01}
{'loss': 11.9312, 'grad_norm': 0.0, 'learning_rate': 0.0004358974358974359, 'epoch': 0.01}
