  0%|                                                            | 0/1280 [00:00<?, ?it/s]/opt/conda/lib/python3.11/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                          
{'loss': 1.4085, 'grad_norm': 0.14525796473026276, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.4126, 'grad_norm': 0.17120885848999023, 'learning_rate': 2.564102564102564e-05, 'epoch': 0.0}
{'loss': 1.369, 'grad_norm': 0.14983302354812622, 'learning_rate': 5.128205128205128e-05, 'epoch': 0.0}
{'loss': 1.3999, 'grad_norm': 0.14429539442062378, 'learning_rate': 7.692307692307693e-05, 'epoch': 0.0}
{'loss': 1.3572, 'grad_norm': 0.16749675571918488, 'learning_rate': 0.00010256410256410256, 'epoch': 0.0}
{'loss': 1.3289, 'grad_norm': 0.19525489211082458, 'learning_rate': 0.0001282051282051282, 'epoch': 0.0}
{'loss': 1.265, 'grad_norm': 0.22589917480945587, 'learning_rate': 0.00015384615384615385, 'epoch': 0.01}
{'loss': 1.231, 'grad_norm': 0.21844471991062164, 'learning_rate': 0.0001794871794871795, 'epoch': 0.01}
{'loss': 1.1808, 'grad_norm': 0.15525572001934052, 'learning_rate': 0.00020512820512820512, 'epoch': 0.01}
{'loss': 1.1424, 'grad_norm': 0.09242501109838486, 'learning_rate': 0.0002307692307692308, 'epoch': 0.01}
{'loss': 1.1438, 'grad_norm': 0.0774887427687645, 'learning_rate': 0.0002564102564102564, 'epoch': 0.01}
{'loss': 1.1466, 'grad_norm': 0.07665859162807465, 'learning_rate': 0.00028205128205128203, 'epoch': 0.01}
{'loss': 1.1382, 'grad_norm': 0.08235728740692139, 'learning_rate': 0.0003076923076923077, 'epoch': 0.01}
{'loss': 1.1556, 'grad_norm': 0.07921582460403442, 'learning_rate': 0.0003333333333333333, 'epoch': 0.01}
{'loss': 1.1678, 'grad_norm': 0.07682596892118454, 'learning_rate': 0.000358974358974359, 'epoch': 0.01}
{'loss': 1.1506, 'grad_norm': 0.09744195640087128, 'learning_rate': 0.00038461538461538467, 'epoch': 0.01}
{'loss': 1.1254, 'grad_norm': 0.16389615833759308, 'learning_rate': 0.00041025641025641023, 'epoch': 0.01}
{'loss': 1.1509, 'grad_norm': 0.09717071056365967, 'learning_rate': 0.0004358974358974359, 'epoch': 0.01}
[2026-02-12 13:26:08,194] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.1326, 'grad_norm': 0.05960467457771301, 'learning_rate': 0.0004615384615384616, 'epoch': 0.01}
{'loss': 1.1345, 'grad_norm': 0.06442148983478546, 'learning_rate': 0.0004871794871794872, 'epoch': 0.02}
{'loss': 1.1577, 'grad_norm': 0.059370946139097214, 'learning_rate': 0.0005128205128205128, 'epoch': 0.02}
